linearity,leniency,index,performance
20,5,2,0.9642857142857143
1,16,0,0.0
1,16,1,0.0
1,16,2,0.25
22,8,0,0.0
22,8,1,0.0
22,8,2,0.9642857142857143
3,23,0,0.0
3,23,1,0.0
3,23,2,0.75
20,4,0,0.0
20,4,1,0.0
20,4,2,0.9642857142857143
1,14,0,0.0
1,14,1,0.0
1,14,2,0.2857142857142857
17,15,0,0.0
17,15,1,0.0
17,15,2,0.0
19,0,0,0.0
19,0,1,0.0
19,0,2,0.9642857142857143
19,4,0,0.0
19,4,1,0.0
19,4,2,0.9642857142857143
0,16,0,0.0
0,16,1,0.0
0,16,2,0.1785714285714286
1,15,0,0.0
1,15,1,0.0
1,15,2,0.1428571428571429
0,13,0,0.0
0,13,1,0.0
0,13,2,0.25
13,17,0,0.0
13,17,1,0.0
13,17,2,0.0
20,13,0,0.0
20,13,1,0.0
20,13,2,0.4285714285714286
21,10,0,0.0
21,10,1,0.0
21,10,2,0.0
21,11,0,0.0
21,11,1,0.0
21,11,2,0.0
17,16,0,0.0
17,16,1,0.0
17,16,2,0.0
15,16,0,0.0
15,16,1,0.0
15,16,2,0.1071428571428571
16,16,0,0.0
16,16,1,0.0
16,16,2,0.4285714285714286
22,12,0,0.0
22,12,1,0.0
22,12,2,0.0
1,20,0,0.0
1,20,1,0.0
1,20,2,0.6785714285714286
2,20,0,0.0
2,20,1,0.0
2,20,2,0.0
21,4,0,0.0
21,4,1,0.0
21,4,2,0.0
21,3,0,0.0
21,3,1,0.0
21,3,2,0.9642857142857143
21,1,0,0.0
21,1,1,0.0
21,1,2,0.9642857142857143
7,19,0,0.0
7,19,1,0.0
7,19,2,0.5714285714285714
0,17,0,0.0
0,17,1,0.0
0,17,2,0.2857142857142857
3,22,0,0.0
3,22,1,0.0
3,22,2,0.7142857142857143
20,1,0,0.0
20,1,1,0.0
20,1,2,0.9642857142857143
16,15,0,0.0
16,15,1,0.0
16,15,2,0.0
12,17,0,0.0
12,17,1,0.0
12,17,2,0.5357142857142857
8,21,0,0.4285714285714286
8,21,1,0.4285714285714286
8,21,2,0.4285714285714286
9,19,0,0.0
9,19,1,0.0
9,19,2,0.4642857142857143
19,1,0,0.0
19,1,1,0.0
19,1,2,0.9642857142857143
0,18,0,0.0
0,18,1,0.0
0,18,2,0.75
19,15,0,0.0
19,15,1,0.0
19,15,2,0.3214285714285714
22,7,0,0.0
22,7,1,0.0
22,7,2,0.0
15,17,0,0.0
15,17,1,0.0
15,17,2,0.0
16,14,0,0.0
16,14,1,0.0
16,14,2,0.1071428571428571
0,20,0,0.0
0,20,1,0.0
0,20,2,0.75
21,0,0,0.0
21,0,1,0.0
21,0,2,0.9642857142857143
12,18,0,0.0
12,18,1,0.0
12,18,2,0.3214285714285714
22,2,0,0.9642857142857143
22,2,1,0.9642857142857143
22,2,2,0.9642857142857143
22,1,0,0.9642857142857143
22,1,1,0.9642857142857143
22,1,2,0.9642857142857143
19,14,0,0.0
19,14,1,0.0
19,14,2,0.3214285714285714
22,0,0,0.9642857142857143
22,0,1,0.9642857142857143
22,0,2,0.9642857142857143
11,18,0,0.1785714285714286
11,18,1,0.3928571428571429
11,18,2,0.4285714285714286
0,19,0,0.0
0,19,1,0.0
0,19,2,0.2857142857142857
10,19,0,0.0
10,19,1,0.0
