density,leniency,index,performance
13,6,1,0.0
13,6,2,0.4285714285714286
36,5,0,0.0
36,5,1,0.0
36,5,2,0.5714285714285714
28,0,0,0.0
28,0,1,0.0
28,0,2,0.75
10,7,0,0.0
10,7,1,0.0
10,7,2,0.0
37,1,0,0.0
37,1,1,0.0
37,1,2,0.8214285714285714
32,7,0,0.0
32,7,1,0.0
32,7,2,0.8214285714285714
39,6,0,0.0
39,6,1,0.0
39,6,2,0.7142857142857143
37,3,0,0.0
37,3,1,0.0
37,3,2,0.6428571428571428
5,7,0,0.0
5,7,1,0.0
5,7,2,0.3928571428571429
11,7,0,0.0
11,7,1,0.0
11,7,2,0.6071428571428572
15,7,0,0.0
15,7,1,0.0
15,7,2,0.5357142857142857
33,8,0,0.0
33,8,1,0.0
33,8,2,0.8214285714285714
29,1,0,0.0
29,1,1,0.0
29,1,2,0.1428571428571429
28,6,0,0.0
28,6,1,0.0
28,6,2,0.3571428571428571
8,8,0,0.0
8,8,1,0.0
8,8,2,0.0
25,7,0,0.0
25,7,1,0.0
25,7,2,0.7142857142857143
29,6,0,0.0
29,6,1,0.0
29,6,2,0.8214285714285714
17,9,0,0.0
17,9,1,0.0
17,9,2,0.8214285714285714
33,6,0,0.0
33,6,1,0.0
33,6,2,0.7142857142857143
8,6,0,0.0
8,6,1,0.0
8,6,2,0.5714285714285714
13,8,0,0.0
13,8,1,0.0
13,8,2,0.4642857142857143
40,2,0,0.0
40,2,1,0.0
40,2,2,0.5357142857142857
8,1,0,0.0
8,1,1,0.0
8,1,2,0.5714285714285714
26,7,0,0.0
26,7,1,0.0
26,7,2,0.1785714285714286
38,4,0,0.0
38,4,1,0.0
38,4,2,0.7142857142857143
6,5,0,0.0
6,5,1,0.0
6,5,2,0.3571428571428571
11,6,0,0.0
11,6,1,0.0
11,6,2,0.5714285714285714
39,9,0,0.0
39,9,1,0.0
39,9,2,0.75
33,7,0,0.0
33,7,1,0.0
33,7,2,0.4642857142857143
38,8,0,0.0
38,8,1,0.0
38,8,2,0.5714285714285714
29,9,0,0.0
29,9,1,0.0
29,9,2,0.7857142857142857
27,9,0,0.0
27,9,1,0.0
27,9,2,0.7142857142857143
37,8,0,0.0
37,8,1,0.0
37,8,2,0.7142857142857143
38,1,0,0.0
38,1,1,0.0
38,1,2,0.6428571428571428
21,10,0,0.0
21,10,1,0.0
21,10,2,0.3571428571428571
9,10,0,0.0
9,10,1,0.0
9,10,2,0.5714285714285714
4,6,0,0.0
4,6,1,0.0
4,6,2,0.1428571428571429
40,3,0,0.0
40,3,1,0.0
40,3,2,0.75
39,3,0,0.0
39,3,1,0.0
39,3,2,0.8214285714285714
18,7,0,0.0
18,7,1,0.0
18,7,2,0.4642857142857143
15,8,0,0.0
15,8,1,0.0
15,8,2,0.3928571428571429
31,11,0,0.0
31,11,1,0.0
31,11,2,0.7142857142857143
9,7,0,0.0
9,7,1,0.0
9,7,2,0.5357142857142857
28,8,0,0.0
28,8,1,0.0
28,8,2,0.5714285714285714
40,4,0,0.0
40,4,1,0.0
40,4,2,0.8214285714285714
4,11,0,0.0
4,11,1,0.0
4,11,2,0.3571428571428571
4,5,0,0.0
4,5,1,0.0
4,5,2,0.0
35,9,0,0.0
35,9,1,0.0
35,9,2,0.6785714285714286
25,8,0,0.0
25,8,1,0.0
25,8,2,0.6785714285714286
16,7,0,0.0
16,7,1,0.0
16,7,2,0.6071428571428572
8,7,0,0.0
8,7,1,0.0
8,7,2,0.6785714285714286
5,9,0,0.0
5,9,1,0.0
5,9,2,0.3571428571428571
35,8,0,0.0
35,8,1,0.0
35,8,2,0.75
24,7,0,0.0
24,7,1,0.0
24,7,2,0.4285714285714286
35,10,0,0.0
35,10,1,0.0
35,10,2,0.4642857142857143
19,8,0,0.0
19,8,1,0.0
19,8,2,0.4642857142857143
23,7,0,0.0
23,7,1,0.0
23,7,2,0.5
18,10,0,0.0
18,10,1,0.0
18,10,2,0.7142857142857143
31,8,0,0.0
31,8,1,0.0
31,8,2,0.5357142857142857
14,8,0,0.0
14,8,1,0.0
14,8,2,0.2142857142857143
39,8,0,0.0
39,8,1,0.0
39,8,2,0.5357142857142857
31,7,0,0.0
31,7,1,0.0
31,7,2,0.6785714285714286
40,8,0,0.0
40,8,1,0.0
40,8,2,0.75
28,7,0,0.0
28,7,1,0.0
28,7,2,0.5357142857142857
16,8,0,0.0
16,8,1,0.0
16,8,2,0.0
25,11,0,0.0
25,11,1,0.0
25,11,2,0.7142857142857143
4,3,0,0.0
4,3,1,0.0
4,3,2,0.6785714285714286
33,9,0,0.0
33,9,1,0.0
33,9,2,0.7142857142857143
30,9,0,0.0
30,9,1,0.0
30,9,2,0.7142857142857143
37,9,0,0.0
37,9,1,0.0
37,9,2,0.6071428571428572
6,4,0,0.0
6,4,1,0.0
6,4,2,0.6428571428571428
15,9,0,0.0
15,9,1,0.0
15,9,2,0.3928571428571429
4,8,0,0.0
4,8,1,0.0
4,8,2,0.3928571428571429
37,10,0,0.0
37,10,1,0.0
37,10,2,0.4642857142857143
23,8,0,0.0
23,8,1,0.0
23,8,2,0.5714285714285714
22,9,0,0.0
22,9,1,0.0
22,9,2,0.2142857142857143
9,11,0,0.0
9,11,1,0.0
9,11,2,0.7142857142857143
10,8,0,0.0
10,8,1,0.0
10,8,2,0.6785714285714286
12,9,0,0.0
12,9,1,0.0
12,9,2,0.6785714285714286
20,9,0,0.0
20,9,1,0.0
20,9,2,0.5714285714285714
36,10,0,0.0
36,10,1,0.0
36,10,2,0.7142857142857143
40,10,0,0.0
40,10,1,0.0
40,10,2,0.7857142857142857
22,8,0,0.0
22,8,1,0.0
22,8,2,0.5
29,8,0,0.0
29,8,1,0.0
29,8,2,0.6428571428571428
17,8,0,0.0
17,8,1,0.0
17,8,2,0.2857142857142857
14,9,0,0.0
14,9,1,0.0
14,9,2,0.75
32,9,0,0.0
32,9,1,0.0
32,9,2,0.5357142857142857
15,10,0,0.0
15,10,1,0.0
15,10,2,0.7142857142857143
9,9,0,0.0
9,9,1,0.0
9,9,2,0.7142857142857143
39,4,0,0.0
39,4,1,0.0
39,4,2,0.5
4,4,0,0.0
4,4,1,0.0
4,4,2,0.6071428571428572
6,8,0,0.0
6,8,1,0.0
6,8,2,0.5714285714285714
31,9,0,0.0
31,9,1,0.0
31,9,2,0.8214285714285714
34,9,0,0.0
34,9,1,0.0
34,9,2,0.3571428571428571
30,10,0,0.0
30,10,1,0.0
30,10,2,0.7142857142857143
34,10,0,0.0
34,10,1,0.0
34,10,2,0.75
37,4,0,0.0
37,4,1,0.0
37,4,2,0.4285714285714286
11,10,0,0.0
11,10,1,0.0
11,10,2,0.5357142857142857
34,0,0,0.0
34,0,1,0.0
34,0,2,0.4285714285714286
11,9,0,0.0
11,9,1,0.0
11,9,2,0.4642857142857143
38,5,0,0.0
38,5,1,0.0
38,5,2,0.6428571428571428
3,7,0,0.0
3,7,1,0.0
3,7,2,0.3571428571428571
26,10,0,0.0
26,10,1,0.0
26,10,2,0.5357142857142857
11,8,0,0.0
11,8,1,0.0
11,8,2,0.0
38,9,0,0.0
38,9,1,0.0
38,9,2,0.5357142857142857
36,0,0,0.0
36,0,1,0.0
36,0,2,0.7857142857142857
16,9,0,0.0
16,9,1,0.0
16,9,2,0.0
36,9,0,0.0
36,9,1,0.0
36,9,2,0.5714285714285714
8,10,0,0.0
8,10,1,0.0
8,10,2,0.3571428571428571
21,9,0,0.0
21,9,1,0.0
21,9,2,0.6428571428571428
26,9,0,0.0
26,9,1,0.0
26,9,2,0.7142857142857143
31,10,0,0.0
31,10,1,0.0
31,10,2,0.7857142857142857
33,10,0,0.0
33,10,1,0.0
33,10,2,0.7142857142857143
32,10,0,0.0
32,10,1,0.0
32,10,2,0.3571428571428571
4,7,0,0.0
4,7,1,0.0
4,7,2,0.25
8,11,0,0.0
8,11,1,0.0
8,11,2,0.5714285714285714
25,9,0,0.0
25,9,1,0.0
25,9,2,0.5357142857142857
7,9,0,0.0
7,9,1,0.0
7,9,2,0.0
5,3,0,0.0
5,3,1,0.0
5,3,2,0.6785714285714286
39,10,0,0.0
39,10,1,0.0
39,10,2,0.8214285714285714
8,9,0,0.0
8,9,1,0.0
8,9,2,0.3571428571428571
25,10,0,0.0
25,10,1,0.0
25,10,2,0.0
23,10,0,0.0
23,10,1,0.0
23,10,2,0.7142857142857143
17,10,0,0.0
17,10,1,0.0
17,10,2,0.5714285714285714
23,9,0,0.0
23,9,1,0.0
23,9,2,0.6071428571428572
13,9,0,0.0
13,9,1,0.0
13,9,2,0.6071428571428572
6,10,0,0.0
6,10,1,0.0
6,10,2,0.2142857142857143
5,8,0,0.0
5,8,1,0.0
5,8,2,0.8214285714285714
33,11,0,0.0
33,11,1,0.0
33,11,2,0.6071428571428572
32,11,0,0.0
32,11,1,0.0
32,11,2,0.8214285714285714
29,10,0,0.0
29,10,1,0.0
29,10,2,0.7142857142857143
18,9,0,0.0
18,9,1,0.0
18,9,2,0.7142857142857143
10,11,0,0.0
10,11,1,0.0
10,11,2,0.7142857142857143
38,10,0,0.0
38,10,1,0.0
38,10,2,0.5357142857142857
27,10,0,0.0
27,10,1,0.0
27,10,2,0.6785714285714286
22,10,0,0.0
22,10,1,0.0
22,10,2,0.7142857142857143
29,11,0,0.0
29,11,1,0.0
29,11,2,0.7857142857142857
28,9,0,0.0
28,9,1,0.0
28,9,2,0.6428571428571428
5,10,0,0.0
5,10,1,0.0
5,10,2,0.2142857142857143
7,10,0,0.0
7,10,1,0.0
7,10,2,0.6071428571428572
10,10,0,0.0
10,10,1,0.0
10,10,2,0.5714285714285714
12,10,0,0.0
12,10,1,0.0
12,10,2,0.2142857142857143
38,0,0,0.0
